Date,GDP_Growth,Unemployment_Rate,Inflation_Rate
2020-01-31,1.6228417669365696,5.410660741911672,2.404991999882718
2020-02-29,0.920395313305,7.695648612830721,2.90330472502777
2020-03-31,1.7968792759145031,7.306385565420026,2.7959901310228767
2020-04-30,2.093414397246093,5.7805377419791135,2.664465425657664
2020-05-31,1.2399251386277563,6.763863150647535,1.968600448582784
2020-06-30,1.5744991959463026,3.2090649110166507,2.5321151589559987
2020-07-31,1.3682698719629205,6.814232614573806,2.297358296425303
2020-08-31,1.782618211748928,5.499210700203099,2.21304660636511
2020-09-30,1.4558649702633124,8.71248594669531,2.3920934991400404
2020-10-31,3.085128358526794,7.1506228686737465,2.8141225185306897
2020-11-30,2.4318430347084856,4.027316075951674,2.7664833074965918
2020-12-31,1.4472159002411251,5.288700103450301,2.314145752202177
2021-01-31,1.5200306927258806,6.060580623839098,2.525386096873497
2021-02-28,1.2595500184336568,5.957561342995299,2.373531989993364
2021-03-31,1.924835424266836,5.91239427119956,2.4279800446796367
2021-04-30,2.887582105078277,6.984731728456119,2.79926676756556
2021-05-31,2.598676133969928,5.45922226235705,2.481053500807701
2021-06-30,2.0990133864276994,5.92766871999644,1.9728440630730812
2021-07-31,1.8529090540687216,7.526072099631673,2.541606887458609
2021-08-31,2.2757208542282754,7.542219423146413,3.0449106436078672
2021-09-30,2.139908121897037,6.977738235568157,2.2900003780738505
2021-10-31,2.216475459383164,5.650272898974846,2.96456277165227
2021-11-30,2.098685721220514,5.292675036391809,2.6852394461521443
2021-12-31,2.222405479194248,5.958706138695526,2.852878102696894
2022-01-31,1.2896994112408469,6.028451735975226,2.762632616310807
2022-02-28,1.9398346436124836,5.964671520568897,2.553338418829461
2022-03-31,2.116759978339167,6.556295573699646,2.3160266565732006
2022-04-30,1.782473143975314,6.360666314929992,2.5527022996118096
2022-05-31,1.3761188425140192,6.318907291787187,2.569954585294288
2022-06-30,2.002612590577211,5.533255997280228,2.7914678840637914
2022-07-31,4.073947525166922,4.801062819433707,1.8246969232435752
2022-08-31,1.5884499952760007,6.694642118148653,2.071038927995376
2022-09-30,1.9288699846668167,6.060691103133213,2.570890997120925
2022-10-31,2.6306927290414364,6.4088103741296365,2.599819147327161
2022-11-30,2.886562168284985,6.436722334884672,2.239832317477644
2022-12-31,1.708355198702862,3.973186911024205,2.6071833741290216
2023-01-31,2.4823076569763702,7.721511165662398,2.7035067129716897
2023-02-28,2.395625964836375,5.4348975897018175,2.441587329929464
2023-03-31,1.7468361422810283,7.373944570221173,2.9288667139019533
2023-04-30,2.3124794857674558,6.424656253352545,2.984933326609414
2023-05-31,1.9134642250612213,4.921429141968128,2.536535433577892
2023-06-30,1.6866116662931072,5.292361429215716,2.7522617229098687
2023-07-31,2.8595327514551823,5.310877284537378,1.991091463443845
2023-08-31,2.32466590502742,5.368390005873416,2.822011395704353
2023-09-30,1.1591001010794146,4.230644229196696,2.9397958517909712
2023-10-31,1.9361392798913275,5.201538083718159,2.1953790107849285
2023-11-30,1.7402557425219578,6.967381840997457,2.685016707073905
2023-12-31,1.894676466343383,7.069755601215846,1.9379351431262704
2024-01-31,2.2579784143704336,5.323742143291377,2.26396814147374
2024-02-29,2.146702655291118,4.127132105166019,2.34390369899253
2024-03-31,2.717037698935256,6.6309184348097325,2.0575740980646917
2024-04-30,2.610925191020669,4.921261927611488,2.4286029073507773
2024-05-31,1.3930510644373455,4.999306485684271,2.408811511663381
2024-06-30,1.950843108867694,5.717166083593636,2.6850330570150183
2024-07-31,1.0266059756878627,5.623531131891193,2.0458306703732525
2024-08-31,1.5016564448573324,5.21024609325225,2.6870028264393357
2024-09-30,0.9522068073681088,5.300603228017941,2.263249558801366
2024-10-31,1.2160023884198754,5.498060295475649,2.1164465496183373
2024-11-30,2.7000515318578926,5.286012286202598,2.4410824780409777
2024-12-31,2.3763542580992234,5.348913081453371,2.725822932767528
2025-01-31,2.3085299591855395,5.694270044679706,2.3547371146551206
2025-02-28,2.587668856479339,6.353357314456301,2.6541717788611785
2025-03-31,2.306352983369897,6.249052730340689,2.5836719201915104
2025-04-30,1.9576132152139416,5.457829446973516,3.440399599427389
